participant_id,ciljana_grupa,ai_tool,knowledge_level,usage_frequency,purpose,effectiveness_rating,tool_category
P01BF6F82,prosveta,DeepL,,unknown,Prevođenje jezika,,other
P01BF6F82,prosveta,Grammarly,,unknown,Kreiranje prezentacija,,other
P01BF6F82,prosveta,Grammarly,,unknown,Učenje novih koncepata,,other
P01BF6F82,prosveta,Grammarly,,unknown,Analiza podataka,,other
P01BF6F82,prosveta,Grammarly,,unknown,Prevođenje jezika,,other
P04A19AA9,prosveta,Stable Diffusion,,unknown,Učenje novih koncepata,,other
P04A19AA9,prosveta,Stable Diffusion,,unknown,Kreiranje slika,,other
P04A19AA9,prosveta,DeepL,,unknown,Učenje novih koncepata,,other
P04A19AA9,prosveta,DeepL,,unknown,Kreiranje slika,,other
P04A19AA9,prosveta,Bing Chat,,unknown,Učenje novih koncepata,,other
P04A19AA9,prosveta,Bing Chat,,unknown,Kreiranje slika,,other
P04A19AA9,prosveta,DALL-E,,unknown,Učenje novih koncepata,,other
P04A19AA9,prosveta,DALL-E,,unknown,Kreiranje slika,,other
P04A19AA9,prosveta,GitHub Copilot,,unknown,Učenje novih koncepata,,code_assistant
P04A19AA9,prosveta,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P04589808,ostalo,GitHub Copilot,,unknown,Kreiranje prezentacija,,code_assistant
P04589808,ostalo,DeepL,,unknown,Kreiranje prezentacija,,other
P04589808,ostalo,Stable Diffusion,,unknown,Kreiranje prezentacija,,other
P04589808,ostalo,Midjourney,,unknown,Kreiranje prezentacija,,other
P02BBD7C7,medicina,Claude,,unknown,Pisanje koda,,conversational_ai
P02BBD7C7,medicina,Claude,,unknown,Pisanje teksta (eseja,,conversational_ai
P02BBD7C7,medicina,Claude,,unknown,mejlova,,conversational_ai
P02BBD7C7,medicina,Claude,,unknown,bloga),,conversational_ai
P02BBD7C7,medicina,Claude,,unknown,Brainstorming ideja,,conversational_ai
P02BBD7C7,medicina,Claude,,unknown,Analiza podataka,,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,Pisanje koda,,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,Pisanje teksta (eseja,,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,mejlova,,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,bloga),,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,Brainstorming ideja,,conversational_ai
P02BBD7C7,medicina,Gemini,,unknown,Analiza podataka,,conversational_ai
P040EC130,it_industrija,Grammarly,,unknown,Kreiranje prezentacija,,other
P040EC130,it_industrija,Grammarly,,unknown,Pisanje teksta (eseja,,other
P040EC130,it_industrija,Grammarly,,unknown,mejlova,,other
P040EC130,it_industrija,Grammarly,,unknown,bloga),,other
P040EC130,it_industrija,Grammarly,,unknown,Kreiranje slika,,other
P040EC130,it_industrija,Grammarly,,unknown,Brainstorming ideja,,other
P040EC130,it_industrija,ChatGPT,,unknown,Kreiranje prezentacija,,conversational_ai
P040EC130,it_industrija,ChatGPT,,unknown,Pisanje teksta (eseja,,conversational_ai
P040EC130,it_industrija,ChatGPT,,unknown,mejlova,,conversational_ai
P040EC130,it_industrija,ChatGPT,,unknown,bloga),,conversational_ai
P040EC130,it_industrija,ChatGPT,,unknown,Kreiranje slika,,conversational_ai
P040EC130,it_industrija,ChatGPT,,unknown,Brainstorming ideja,,conversational_ai
P040EC130,it_industrija,DeepL,,unknown,Kreiranje prezentacija,,other
P040EC130,it_industrija,DeepL,,unknown,Pisanje teksta (eseja,,other
P040EC130,it_industrija,DeepL,,unknown,mejlova,,other
P040EC130,it_industrija,DeepL,,unknown,bloga),,other
P040EC130,it_industrija,DeepL,,unknown,Kreiranje slika,,other
P040EC130,it_industrija,DeepL,,unknown,Brainstorming ideja,,other
P040EC130,it_industrija,Bing Chat,,unknown,Kreiranje prezentacija,,other
P040EC130,it_industrija,Bing Chat,,unknown,Pisanje teksta (eseja,,other
P040EC130,it_industrija,Bing Chat,,unknown,mejlova,,other
P040EC130,it_industrija,Bing Chat,,unknown,bloga),,other
P040EC130,it_industrija,Bing Chat,,unknown,Kreiranje slika,,other
P040EC130,it_industrija,Bing Chat,,unknown,Brainstorming ideja,,other
P040FB11A,drustvene_nauke,DeepL,,unknown,Analiza podataka,,other
P040FB11A,drustvene_nauke,DeepL,,unknown,Kreiranje prezentacija,,other
P040FB11A,drustvene_nauke,DeepL,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,Grammarly,,unknown,Analiza podataka,,other
P040FB11A,drustvene_nauke,Grammarly,,unknown,Kreiranje prezentacija,,other
P040FB11A,drustvene_nauke,Grammarly,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,DALL-E,,unknown,Analiza podataka,,other
P040FB11A,drustvene_nauke,DALL-E,,unknown,Kreiranje prezentacija,,other
P040FB11A,drustvene_nauke,DALL-E,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,GitHub Copilot,,unknown,Analiza podataka,,code_assistant
P040FB11A,drustvene_nauke,GitHub Copilot,,unknown,Kreiranje prezentacija,,code_assistant
P040FB11A,drustvene_nauke,GitHub Copilot,,unknown,Pisanje koda,,code_assistant
P015F4F19,drustvene_nauke,GitHub Copilot,,unknown,Brainstorming ideja,,code_assistant
P015F4F19,drustvene_nauke,GitHub Copilot,,unknown,Učenje novih koncepata,,code_assistant
P015F4F19,drustvene_nauke,GitHub Copilot,,unknown,Prevođenje jezika,,code_assistant
P015F4F19,drustvene_nauke,Bing Chat,,unknown,Brainstorming ideja,,other
P015F4F19,drustvene_nauke,Bing Chat,,unknown,Učenje novih koncepata,,other
P015F4F19,drustvene_nauke,Bing Chat,,unknown,Prevođenje jezika,,other
P015F4F19,drustvene_nauke,DeepL,,unknown,Brainstorming ideja,,other
P015F4F19,drustvene_nauke,DeepL,,unknown,Učenje novih koncepata,,other
P015F4F19,drustvene_nauke,DeepL,,unknown,Prevođenje jezika,,other
P015F4F19,drustvene_nauke,Grammarly,,unknown,Brainstorming ideja,,other
P015F4F19,drustvene_nauke,Grammarly,,unknown,Učenje novih koncepata,,other
P015F4F19,drustvene_nauke,Grammarly,,unknown,Prevođenje jezika,,other
P015F4F19,drustvene_nauke,DALL-E,,unknown,Brainstorming ideja,,other
P015F4F19,drustvene_nauke,DALL-E,,unknown,Učenje novih koncepata,,other
P015F4F19,drustvene_nauke,DALL-E,,unknown,Prevođenje jezika,,other
P0136B831,medicina,Bing Chat,,unknown,Kreiranje prezentacija,,other
P01750CE7,it_industrija,DeepL,,unknown,Prevođenje jezika,,other
P01750CE7,it_industrija,DeepL,,unknown,Brainstorming ideja,,other
P01750CE7,it_industrija,GitHub Copilot,,unknown,Prevođenje jezika,,code_assistant
P01750CE7,it_industrija,GitHub Copilot,,unknown,Brainstorming ideja,,code_assistant
P01750CE7,it_industrija,Grammarly,,unknown,Prevođenje jezika,,other
P01750CE7,it_industrija,Grammarly,,unknown,Brainstorming ideja,,other
P01750CE7,it_industrija,Claude,,unknown,Prevođenje jezika,,conversational_ai
P01750CE7,it_industrija,Claude,,unknown,Brainstorming ideja,,conversational_ai
P012B9957,ostalo,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P012B9957,ostalo,GitHub Copilot,,unknown,Pisanje teksta (eseja,,code_assistant
P012B9957,ostalo,GitHub Copilot,,unknown,mejlova,,code_assistant
P012B9957,ostalo,GitHub Copilot,,unknown,bloga),,code_assistant
P012B9957,ostalo,GitHub Copilot,,unknown,Kreiranje prezentacija,,code_assistant
P012B9957,ostalo,GitHub Copilot,,unknown,Analiza podataka,,code_assistant
P012B9957,ostalo,DALL-E,,unknown,Kreiranje slika,,other
P012B9957,ostalo,DALL-E,,unknown,Pisanje teksta (eseja,,other
P012B9957,ostalo,DALL-E,,unknown,mejlova,,other
P012B9957,ostalo,DALL-E,,unknown,bloga),,other
P012B9957,ostalo,DALL-E,,unknown,Kreiranje prezentacija,,other
P012B9957,ostalo,DALL-E,,unknown,Analiza podataka,,other
P012B9957,ostalo,Claude,,unknown,Kreiranje slika,,conversational_ai
P012B9957,ostalo,Claude,,unknown,Pisanje teksta (eseja,,conversational_ai
P012B9957,ostalo,Claude,,unknown,mejlova,,conversational_ai
P012B9957,ostalo,Claude,,unknown,bloga),,conversational_ai
P012B9957,ostalo,Claude,,unknown,Kreiranje prezentacija,,conversational_ai
P012B9957,ostalo,Claude,,unknown,Analiza podataka,,conversational_ai
P012B9957,ostalo,Gemini,,unknown,Kreiranje slika,,conversational_ai
P012B9957,ostalo,Gemini,,unknown,Pisanje teksta (eseja,,conversational_ai
P012B9957,ostalo,Gemini,,unknown,mejlova,,conversational_ai
P012B9957,ostalo,Gemini,,unknown,bloga),,conversational_ai
P012B9957,ostalo,Gemini,,unknown,Kreiranje prezentacija,,conversational_ai
P012B9957,ostalo,Gemini,,unknown,Analiza podataka,,conversational_ai
P012B9957,ostalo,DeepL,,unknown,Kreiranje slika,,other
P012B9957,ostalo,DeepL,,unknown,Pisanje teksta (eseja,,other
P012B9957,ostalo,DeepL,,unknown,mejlova,,other
P012B9957,ostalo,DeepL,,unknown,bloga),,other
P012B9957,ostalo,DeepL,,unknown,Kreiranje prezentacija,,other
P012B9957,ostalo,DeepL,,unknown,Analiza podataka,,other
P00A1392D,medicina,ChatGPT,,unknown,Kreiranje slika,,conversational_ai
P00A1392D,medicina,ChatGPT,,unknown,Učenje novih koncepata,,conversational_ai
P00A1392D,medicina,ChatGPT,,unknown,Brainstorming ideja,,conversational_ai
P04C7EE06,prosveta,Grammarly,,unknown,Pisanje koda,,other
P04C7EE06,prosveta,Grammarly,,unknown,Kreiranje slika,,other
P04C7EE06,prosveta,Grammarly,,unknown,Kreiranje prezentacija,,other
P04C7EE06,prosveta,Grammarly,,unknown,Brainstorming ideja,,other
P04C7EE06,prosveta,GitHub Copilot,,unknown,Pisanje koda,,code_assistant
P04C7EE06,prosveta,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P04C7EE06,prosveta,GitHub Copilot,,unknown,Kreiranje prezentacija,,code_assistant
P04C7EE06,prosveta,GitHub Copilot,,unknown,Brainstorming ideja,,code_assistant
P040FB11A,drustvene_nauke,Midjourney,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,Stable Diffusion,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,Grammarly,,unknown,Pisanje koda,,other
P040FB11A,drustvene_nauke,ChatGPT,,unknown,Pisanje koda,,conversational_ai
P040EC130,ostalo,DALL-E,,unknown,Brainstorming ideja,,other
P040EC130,ostalo,DALL-E,,unknown,Kreiranje prezentacija,,other
P040EC130,ostalo,DALL-E,,unknown,Kreiranje slika,,other
P040EC130,ostalo,DALL-E,,unknown,Pisanje koda,,other
P040EC130,ostalo,GitHub Copilot,,unknown,Brainstorming ideja,,code_assistant
P040EC130,ostalo,GitHub Copilot,,unknown,Kreiranje prezentacija,,code_assistant
P040EC130,ostalo,GitHub Copilot,,unknown,Kreiranje slika,,code_assistant
P040EC130,ostalo,GitHub Copilot,,unknown,Pisanje koda,,code_assistant
P040EC130,ostalo,Grammarly,,unknown,Brainstorming ideja,,other
P040EC130,ostalo,Grammarly,,unknown,Kreiranje prezentacija,,other
P040EC130,ostalo,Grammarly,,unknown,Kreiranje slika,,other
P040EC130,ostalo,Grammarly,,unknown,Pisanje koda,,other
P040EC130,ostalo,DeepL,,unknown,Brainstorming ideja,,other
P040EC130,ostalo,DeepL,,unknown,Kreiranje prezentacija,,other
P040EC130,ostalo,DeepL,,unknown,Kreiranje slika,,other
P040EC130,ostalo,DeepL,,unknown,Pisanje koda,,other
P040EC130,ostalo,Bing Chat,,unknown,Brainstorming ideja,,other
P040EC130,ostalo,Bing Chat,,unknown,Kreiranje prezentacija,,other
P040EC130,ostalo,Bing Chat,,unknown,Kreiranje slika,,other
P040EC130,ostalo,Bing Chat,,unknown,Pisanje koda,,other
